student_name,github_username,total_score,max_score,score,task_1,task_2,quiz,status,conclusion
GitHub Action,Onyebuchi-Iwegbu,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,PranshUwU,5,20,5/20,0/10,5/5,0/5,completed,failure
SADAMORI KOJAKU,Ron573,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,amahury,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,erfiolkoski-beep,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,nedachocolate63,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,pajarito95,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,rsthornton,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,sbi2-glitch,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,skojaku,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,themnvrao76,5,20,5/20,0/10,5/5,0/5,completed,failure
GitHub Action,usukharamwal,5,20,5/20,0/10,5/5,0/5,completed,failure
